2026-04-04 16:19:55 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=7
2026-04-04 16:19:59 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=10
2026-04-04 16:19:59 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=10
2026-04-04 16:20:02 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=13
2026-04-04 16:20:02 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=13
2026-04-04 16:20:05 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=16
2026-04-04 16:20:05 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=16
2026-04-04 16:20:08 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=20
2026-04-04 16:20:08 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=20
2026-04-04 16:20:12 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=23
2026-04-04 16:20:12 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=23
2026-04-04 16:20:15 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=26
2026-04-04 16:20:15 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=26
2026-04-04 16:20:18 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_PROGRESS', elapsed_s=29
2026-04-04 16:20:18 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_PROGRESS', elapsed_s=29
2026-04-04 16:20:21 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='COMPLETED', elapsed_s=33
2026-04-04 16:20:21 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='COMPLETED', elapsed_s=33
2026-04-04 16:20:22 | INFO     | service.voiceover_service | ← poll_tts_task() [OUT]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', audio_url='https://fal.media/files/rabbit/MXx3o5he_em1lRraqaZUJ_tmp53tcj1ai.wav'
2026-04-04 16:20:22 | DEBUG    | service.voiceover_service | ← poll_tts_task() [OUT] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', audio_url='https://fal.media/files/rabbit/MXx3o5he_em1lRraqaZUJ_tmp53tcj1ai.wav'
2026-04-04 16:20:22 | INFO     | service.voiceover_service | → download_voiceover() [IN]  audio_url='https://fal.media/files/rabbit/MXx3o5he_em1lRraqaZUJ_tmp53tcj1ai.wav'
2026-04-04 16:20:22 | DEBUG    | service.voiceover_service | → download_voiceover() [IN] FULL  audio_url='https://fal.media/files/rabbit/MXx3o5he_em1lRraqaZUJ_tmp53tcj1ai.wav'
